,article,domain,label
0,"A hardware accelerator is presented to compute the probabilistic inference for a Bayesian network (BN) in distributed sensing applications. For energy efficiency, the accelerator is operated at a near-threshold voltage of 0.5 V, while achieving a maximum clock frequency of 33 MHz. Clique-tree message passing algorithm is leveraged to compute the probabilistic inference. The theoretical maximum size of a factor that the proposed hardware accelerator can handle is 2((8x20)=160) entries, which is sufficient for handling massive BNs, such as PATHFINDER, MUNIN, and so on (>1000 nodes). A Logical Alarm Reduction Mechanism (ALARM) BN is used to benchmark the performance of the accelerator. The accelerator consumes 76 nJ to execute the ALARM network using a clique-tree message-passing algorithm, while the same algorithm executed on an ultralow-power microcontroller consumes 20 mJ.
",ECE,1
1,"An automatized procedure for the parameterization of fundamental equations of state (EOS) that are explicit in terms of the Helmholtz energy and are based on molecular simulation data is presented. The simulation runs are carried out via a cloud-based framework that combines multiple, distributed computing resources. A user-friendly graphical user interface ensures that minimal knowledge about the background operations is required. In order to exemplify the capabilities of this approach an EOS for ethylene oxide is created and compared to data from the literature. (C) 2016 Elsevier B.V. All rights reserved.
",CS,0
2,"A review and comparative analyses of methods for restricting the range of molecular interactions within the concept of atom-atom potentials are presented. Emphasis is placed on the problem of calculating the electrostatic energy in models with periodic boundary conditions. Numerous calculations of the thermodynamic and structural characteristics of water using parallel Monte Carlo computations have shown that the use of functional forms simulating the electric potentials of ""screened charges"" provides very good results.
",CS,0
3,"A parallel time integration method for nonlinear partial differential equations is proposed. It is based on a new implementation of the Paraexp method for linear partial differential equations (PDEs) employing a block Krylov subspace method. For nonlinear PDEs the algorithm is based on our Paraexp implementation within a waveform relaxation. The initial value problem is solved iteratively on a complete time interval. Nonlinear terms are treated as source terms, provided by the solution from the previous iteration. At each iteration, the problem is decoupled into independent subproblems by the principle of superposition. The decoupled subproblems are solved fast by exponential integration, based on a block Krylov method. The new time integration is demonstrated for the one-dimensional advection-diffusion equation and the viscous Burgers equation. Numerical experiments confirm excellent parallel scaling for the linear advection-diffusion problem, and good scaling in case the nonlinear Burgers equation is simulated. (C) 2016 Elsevier B.V. All rights reserved.
",CS,0
4,"A redundant system of collocated geodetic sensors and an accelerometer were used to measure the displacements of a stiff, 40-m-long footbridge excited by essentially vertical synchronized jumps. A main output of the measurements was that excitations produced vertical deflections (of the order of several mm), lateral deflections with an amplitude about half that of the vertical, an effect known for various bridges, and also smaller-scale longitudinal deflections, probably induced by the vertical ones. This combination of deflections in three axes is not an artifact of measuring errors, or of limitations of specific instruments, and do not reflect random effects, for they have been observed in different experiments by different sensors (Global Navigation Satellite System-GNSS, i.e., Global Positioning System-GPS plus the Russian Global Navigation Satellite System-GLONASS), robotic total stations-RTS (or robotic theodolite), and an accelerometer, and were tested through control of the measurement errors from time series reflecting no bridge oscillations. In all cases, sensors provided similar estimates of deflections and of deflection-derived dominant frequencies, which were found equal to those derived from the accelerometer. The proposed instrumentation and methodology seem suitable to control deflections of bridges in cases that visibility of satellites is poor or is disrupted by vehicle circulation. Measurement-based modeling of bridges described might be useful for understanding the structural behavior of bridges under several types of dynamic loads and can contribute to the displacement-based design of structures. Copyright (c) 2013 John Wiley & Sons, Ltd.
",Civil,4
5,"After intense scientific exploration and more than a decade of failed trials, Alzheimer's disease (AD) remains a fatal global epidemic. A traditional research and drug development paradigm continues to target heterogeneous late-stage clinically phenotyped patients with single 'magic bullet' drugs. Here, we propose that it is time for a paradigm shift towards the implementation of precision medicine (PM) for enhanced risk screening, detection, treatment, and prevention of AD. The overarching structure of how PM for AD can be achieved will be provided through the convergence of breakthrough technological advances, including big data science, systems biology, genomic sequencing, blood-based biomarkers, integrated disease modeling and P4 medicine. It is hypothesized that deconstructing AD into multiple genetic and biological subsets existing within this heterogeneous target population will provide an effective PM strategy for treating individual patients with the specific agent(s) that are likely to work best based on the specific individual biological make-up. The Alzheimer's Precision Medicine Initiative (APMI) is an international collaboration of leading interdisciplinary clinicians and scientists devoted towards the implementation of PM in Neurology, Psychiatry and Neuroscience. It is hypothesized that successful realization of PM in AD and other neurodegenerative diseases will result in breakthrough therapies, such as in oncology, with optimized safety profiles, better responder rates and treatment responses, particularly through biomarker-guided early preclinical disease-stage clinical trials.
",Medical,5
6,"A current major challenge in leprosy control is the prevention of permanent disabilities. Host pathological inflammatory responses termed type 1 reaction (T1R) are a leading cause of nerve damage for leprosy patients. The environmental or inherited factors that predispose leprosy cases to undergo T1R are not known. However, studies have shown an important contribution of host genetics for susceptibility to T1R. We have previously identified variants encompassing the TNFSF15/TNFSF8 genes as T1R risk factors in a Vietnamese sample and replicated this association in a Brazilian sample. However, we failed to validate in Brazilian patients the strong association of TNFSF15/TNFSF8 markers rs6478108 and rs7863183 with T1R that we had observed in Vietnamese patients. Here, we investigated if the lack of validation of these variants was due to age-dependent effects on association using four independent population samples, two from Brazil and two from Vietnam. In the combined analysis across the four samples, we observed a strong association of the TNFSF15/TNFSF8 variants rs6478108, rs7863183, and rs3181348 with T1R (p(combined) = 1.5E-05, p(combined) = 1.8E-05, and p(combined) = 6.5E-06, respectively). However, the association of rs6478108 with T1R was more pronounced in leprosy cases under 30 years of age compared to the global sample [odds ratio (OR) = 1.95, 95% confidence interval (CI) = 1.54-2.46, p(combined) = 2.5E-08 versus OR = 1.46, 95% CI = 1.23-1.73, p(combined) = 1.5E-05]. A multivariable analysis indicated that the association of rs6478108 with T1R was independent of either rs7863183 or rs3181348. These three variants are known regulators of the TNFSF8 gene transcription level in multiple tissues. The age dependency of association of rs6478108 and T1R suggests that the genetic control of gene expression varies across the human life span.
",Medical,5
7,"Action recognition, aiming to automatically classify actions from a series of observations, has attracted more attention in the computer vision community. The state-of-the-art action recognition methods utilize dense sampled trajectories to build feature representations. However, their performances are limited due to action region clutters and camera motions in real world applications. No matter how the scenario changes in different backgrounds, the salient cues of actions are highly dependent on their appearances and motions. Based on this discovery, in this paper we propose a novel saliency-based dense sampling strategy named improved dense trajectories (iDT) on salient region-based contrast boundary (iDT-RCB). Without any external human detector, a robust mask is generated to overcome the limitations of global contrast based saliency in action sequences. Warped optical flow is exploited to adjust the interest points sampling to remove subtle motions. We show that an appropriate pruning of feature points can achieve a good balance between saliency and density of the sampled points. Experiments conducted on three benchmark datasets have demonstrated the effectiveness of the proposed method. More specifically, the fusion of deep-learned features and our hand-crafted features can even improve the recognition performance over baseline dense sampling methods. In particular, the fusion scheme achieves the state-of-the-art accuracy at 73.8% and 94.8% on Hollywood2 and UCF50, respectively.
",CS,0
8,"A diversity antenna system with antennas embedded in rear view mirrors of a vehicle is proposed for satellite digital audio radio system. Antenna diversity is needed because hidden antennas exhibit limited capability and composite body vehicles have poor reception due to no ground plane availability. Pattern gain diversity achieved with the proposed system is proven with on-vehicle antenna simulations and gain measurements. Selection combining diversity receiver architecture is also proposed and the system is tested in real time under two fading scenarios: weak satellite signal in dense foliage and multipath terrestrial environment with frequent satellite blockages. In both cases, the diversity system outperformed the reference antenna system with less mutes times (0.6% versus 0.8% in multipath, 0.1% versus 0.25% in dense foliage) and Reed-Solomon block errors (1.75% versus 2.18% in multipath, 0.87% versus 1.18% in dense foliage). The proposed rear-view mirror location is ideal for minimum signal degradation compared to windshield, backlite, and dashboard antenna installations.
",ECE,1
9,"A new model of power-assisted bicycle has been designed, set up and tested. The main innovative solutions for the pedelec prototype are described in the present paper: the electric motor position; the new mechanical transmission; the low cost measurement system of the driving torque; the special test rig. Differently from a common approach, in which the electric motor is located on one of the three hubs of the bicycle, the idea of the pedelec prototype consists of an electrical motor in the central position that, by means of a bevel gear, transmits the torque on the central hub. The other innovative solution is represented by the motion transmission from the motor to the pedal shaft, achieved by two different gearboxes: the first one is a planetary gearbox and the second one is a simple bevel gear. The pedelec prototype contains also a new low cost measurement system of the driving torque based on a strain gauge load cell located on one side of the rear wheel, between the hub and the frame. Moreover, a commercial cycling simulator has been suitably modified in order to properly install the different sensors for the measurement of the performance of the pedelec. The test rig is able to reproduce an aforethought route or paths acquired during road tests, to measure the performance of the e-bike in terms of instantaneous power and speed. The experimental test rig can simulate the resistant torque of a predetermined track and it aims to test and to optimize the control strategy available on the electronic control unit. The authors have also conducted an environmental analysis of the developed pedelec, in particular comparing the e-bike with a thermal moped, in terms of environmental impact. (C) 2016 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license.
",ECE,1
